HR,timeUnix,SUBJ_ID
79.9,1614340175.0,104
79.9,1614340176.0,104
79.92,1614340177.0,104
79.95,1614340178.0,104
79.98,1614340179.0,104
80.02,1614340180.0,104
80.05,1614340181.0,104
80.07,1614340182.0,104
80.08,1614340183.0,104
80.12,1614340184.0,104
80.13,1614340185.0,104
80.13,1614340186.0,104
80.12,1614340187.0,104
80.12,1614340188.0,104
80.1,1614340189.0,104
80.08,1614340190.0,104
80.07,1614340191.0,104
80.05,1614340192.0,104
80.03,1614340193.0,104
80.02,1614340194.0,104
80.02,1614340195.0,104
80.02,1614340196.0,104
80.0,1614340197.0,104
79.97,1614340198.0,104
79.95,1614340199.0,104
79.93,1614340200.0,104
79.93,1614340201.0,104
79.93,1614340202.0,104
79.93,1614340203.0,104
79.93,1614340204.0,104
79.93,1614340205.0,104
79.95,1614340206.0,104
79.97,1614340207.0,104
80.0,1614340208.0,104
80.05,1614340209.0,104
80.1,1614340210.0,104
80.13,1614340211.0,104
80.17,1614340212.0,104
80.2,1614340213.0,104
80.22,1614340214.0,104
80.23,1614340215.0,104
80.25,1614340216.0,104
80.27,1614340217.0,104
80.28,1614340218.0,104
80.4,1614340219.0,104
80.55,1614340220.0,104
80.77,1614340221.0,104
80.97,1614340222.0,104
81.08,1614340223.0,104
81.28,1614340224.0,104
81.4,1614340225.0,104
81.58,1614340226.0,104
81.8,1614340227.0,104
82.02,1614340228.0,104
82.23,1614340229.0,104
82.3,1614340230.0,104
82.35,1614340231.0,104
82.38,1614340232.0,104
82.42,1614340233.0,104
82.45,1614340234.0,104
82.48,1614340235.0,104
82.5,1614340236.0,104
82.5,1614340237.0,104
82.48,1614340238.0,104
82.47,1614340239.0,104
82.45,1614340240.0,104
82.45,1614340241.0,104
82.45,1614340242.0,104
82.45,1614340243.0,104
82.45,1614340244.0,104
82.47,1614340245.0,104
82.48,1614340246.0,104
82.52,1614340247.0,104
82.55,1614340248.0,104
82.58,1614340249.0,104
82.63,1614340250.0,104
82.68,1614340251.0,104
82.73,1614340252.0,104
82.78,1614340253.0,104
82.83,1614340254.0,104
82.87,1614340255.0,104
82.9,1614340256.0,104
82.93,1614340257.0,104
82.98,1614340258.0,104
83.03,1614340259.0,104
83.08,1614340260.0,104
83.13,1614340261.0,104
83.2,1614340262.0,104
83.25,1614340263.0,104
83.32,1614340264.0,104
83.38,1614340265.0,104
83.43,1614340266.0,104
83.48,1614340267.0,104
83.53,1614340268.0,104
83.55,1614340269.0,104
83.57,1614340270.0,104
83.58,1614340271.0,104
83.6,1614340272.0,104
83.63,1614340273.0,104
83.68,1614340274.0,104
83.72,1614340275.0,104
83.75,1614340276.0,104
83.78,1614340277.0,104
83.8,1614340278.0,104
83.72,1614340279.0,104
83.6,1614340280.0,104
83.42,1614340281.0,104
83.25,1614340282.0,104
83.15,1614340283.0,104
82.95,1614340284.0,104
82.83,1614340285.0,104
82.63,1614340286.0,104
82.42,1614340287.0,104
82.2,1614340288.0,104
82.0,1614340289.0,104
81.93,1614340290.0,104
81.85,1614340291.0,104
81.77,1614340292.0,104
81.67,1614340293.0,104
81.57,1614340294.0,104
81.48,1614340295.0,104
81.38,1614340296.0,104
81.28,1614340297.0,104
81.2,1614340298.0,104
81.12,1614340299.0,104
81.05,1614340300.0,104
80.98,1614340301.0,104
80.93,1614340302.0,104
80.92,1614340303.0,104
80.88,1614340304.0,104
80.87,1614340305.0,104
80.85,1614340306.0,104
80.83,1614340307.0,104
80.78,1614340308.0,104
80.73,1614340309.0,104
80.65,1614340310.0,104
80.55,1614340311.0,104
80.43,1614340312.0,104
80.32,1614340313.0,104
80.2,1614340314.0,104
80.1,1614340315.0,104
79.98,1614340316.0,104
79.85,1614340317.0,104
79.72,1614340318.0,104
79.58,1614340319.0,104
79.47,1614340320.0,104
79.33,1614340321.0,104
79.18,1614340322.0,104
79.03,1614340323.0,104
78.9,1614340324.0,104
78.78,1614340325.0,104
78.68,1614340326.0,104
78.58,1614340327.0,104
78.48,1614340328.0,104
78.4,1614340329.0,104
78.32,1614340330.0,104
78.27,1614340331.0,104
78.18,1614340332.0,104
78.08,1614340333.0,104
77.98,1614340334.0,104
77.9,1614340335.0,104
77.82,1614340336.0,104
77.75,1614340337.0,104
58.0,1614792461.0,105
67.0,1614792462.0,105
66.0,1614792463.0,105
64.0,1614792464.0,105
62.8,1614792465.0,105
62.0,1614792466.0,105
61.71,1614792467.0,105
62.0,1614792468.0,105
62.0,1614792469.0,105
62.1,1614792470.0,105
62.09,1614792471.0,105
62.08,1614792472.0,105
61.92,1614792473.0,105
61.71,1614792474.0,105
61.13,1614792475.0,105
60.38,1614792476.0,105
59.71,1614792477.0,105
59.11,1614792478.0,105
59.47,1614792479.0,105
59.8,1614792480.0,105
60.1,1614792481.0,105
60.36,1614792482.0,105
60.61,1614792483.0,105
60.75,1614792484.0,105
61.48,1614792485.0,105
62.08,1614792486.0,105
62.59,1614792487.0,105
63.04,1614792488.0,105
63.41,1614792489.0,105
63.73,1614792490.0,105
64.0,1614792491.0,105
64.19,1614792492.0,105
64.36,1614792493.0,105
64.53,1614792494.0,105
64.69,1614792495.0,105
64.81,1614792496.0,105
64.92,1614792497.0,105
65.03,1614792498.0,105
65.15,1614792499.0,105
65.3,1614792500.0,105
65.44,1614792501.0,105
65.6,1614792502.0,105
65.74,1614792503.0,105
65.89,1614792504.0,105
66.04,1614792505.0,105
66.2,1614792506.0,105
66.36,1614792507.0,105
66.52,1614792508.0,105
66.67,1614792509.0,105
66.82,1614792510.0,105
66.94,1614792511.0,105
67.06,1614792512.0,105
67.17,1614792513.0,105
67.28,1614792514.0,105
67.38,1614792515.0,105
67.46,1614792516.0,105
67.54,1614792517.0,105
67.62,1614792518.0,105
67.69,1614792519.0,105
67.77,1614792520.0,105
68.0,1614792521.0,105
67.93,1614792522.0,105
68.07,1614792523.0,105
68.3,1614792524.0,105
68.55,1614792525.0,105
68.85,1614792526.0,105
69.13,1614792527.0,105
69.33,1614792528.0,105
69.63,1614792529.0,105
69.93,1614792530.0,105
70.27,1614792531.0,105
70.6,1614792532.0,105
70.98,1614792533.0,105
71.38,1614792534.0,105
71.85,1614792535.0,105
72.37,1614792536.0,105
72.85,1614792537.0,105
73.3,1614792538.0,105
73.43,1614792539.0,105
73.53,1614792540.0,105
73.62,1614792541.0,105
73.67,1614792542.0,105
73.72,1614792543.0,105
73.78,1614792544.0,105
73.6,1614792545.0,105
73.45,1614792546.0,105
73.32,1614792547.0,105
73.2,1614792548.0,105
73.1,1614792549.0,105
73.02,1614792550.0,105
72.93,1614792551.0,105
72.88,1614792552.0,105
72.83,1614792553.0,105
72.77,1614792554.0,105
72.72,1614792555.0,105
72.68,1614792556.0,105
72.65,1614792557.0,105
72.63,1614792558.0,105
72.6,1614792559.0,105
72.57,1614792560.0,105
72.52,1614792561.0,105
72.45,1614792562.0,105
72.37,1614792563.0,105
72.28,1614792564.0,105
72.17,1614792565.0,105
72.05,1614792566.0,105
71.93,1614792567.0,105
71.83,1614792568.0,105
71.75,1614792569.0,105
71.67,1614792570.0,105
71.62,1614792571.0,105
71.57,1614792572.0,105
71.52,1614792573.0,105
71.48,1614792574.0,105
71.45,1614792575.0,105
71.42,1614792576.0,105
71.38,1614792577.0,105
71.37,1614792578.0,105
71.33,1614792579.0,105
71.32,1614792580.0,105
71.3,1614792581.0,105
71.28,1614792582.0,105
71.25,1614792583.0,105
71.22,1614792584.0,105
71.17,1614792585.0,105
71.05,1614792586.0,105
70.93,1614792587.0,105
70.83,1614792588.0,105
70.65,1614792589.0,105
70.47,1614792590.0,105
70.27,1614792591.0,105
69.93,1614792592.0,105
69.58,1614792593.0,105
69.2,1614792594.0,105
68.78,1614792595.0,105
68.38,1614792596.0,105
68.17,1614792597.0,105
68.0,1614792598.0,105
67.97,1614792599.0,105
67.93,1614792600.0,105
67.95,1614792601.0,105
68.02,1614792602.0,105
68.08,1614792603.0,105
68.18,1614792604.0,105
68.28,1614792605.0,105
68.38,1614792606.0,105
68.48,1614792607.0,105
68.58,1614792608.0,105
68.7,1614792609.0,105
68.83,1614792610.0,105
68.98,1614792611.0,105
69.17,1614792612.0,105
69.37,1614792613.0,105
69.57,1614792614.0,105
69.77,1614792615.0,105
69.98,1614792616.0,105
70.2,1614792617.0,105
70.4,1614792618.0,105
70.6,1614792619.0,105
70.78,1614792620.0,105
70.97,1614792621.0,105
71.15,1614792622.0,105
71.35,1614792623.0,105
71.53,1614792624.0,105
71.72,1614792625.0,105
71.88,1614792626.0,105
72.03,1614792627.0,105
72.13,1614792628.0,105
72.22,1614792629.0,105
72.3,1614792630.0,105
72.35,1614792631.0,105
72.38,1614792632.0,105
72.4,1614792633.0,105
72.4,1614792634.0,105
72.4,1614792635.0,105
72.4,1614792636.0,105
72.38,1614792637.0,105
72.33,1614792638.0,105
72.32,1614792639.0,105
72.27,1614792640.0,105
72.22,1614792641.0,105
72.17,1614792642.0,105
72.13,1614792643.0,105
72.1,1614792644.0,105
72.08,1614792645.0,105
72.13,1614792646.0,105
72.15,1614792647.0,105
72.15,1614792648.0,105
72.17,1614792649.0,105
72.15,1614792650.0,105
72.17,1614792651.0,105
72.33,1614792652.0,105
72.5,1614792653.0,105
72.72,1614792654.0,105
73.03,1614792655.0,105
73.35,1614792656.0,105
73.57,1614792657.0,105
73.78,1614792658.0,105
73.9,1614792659.0,105
74.03,1614792660.0,105
74.12,1614792661.0,105
74.17,1614792662.0,105
74.2,1614792663.0,105
74.22,1614792664.0,105
74.22,1614792665.0,105
74.2,1614792666.0,105
74.18,1614792667.0,105
74.17,1614792668.0,105
74.13,1614792669.0,105
74.1,1614792670.0,105
74.07,1614792671.0,105
74.0,1614792672.0,105
73.92,1614792673.0,105
73.85,1614792674.0,105
73.77,1614792675.0,105
73.65,1614792676.0,105
73.53,1614792677.0,105
73.42,1614792678.0,105
73.3,1614792679.0,105
73.17,1614792680.0,105
73.05,1614792681.0,105
72.93,1614792682.0,105
72.82,1614792683.0,105
72.72,1614792684.0,105
72.63,1614792685.0,105
72.57,1614792686.0,105
72.52,1614792687.0,105
72.52,1614792688.0,105
72.53,1614792689.0,105
72.55,1614792690.0,105
72.55,1614792691.0,105
72.58,1614792692.0,105
72.63,1614792693.0,105
72.7,1614792694.0,105
72.77,1614792695.0,105
72.97,1614792696.0,105
73.15,1614792697.0,105
73.33,1614792698.0,105
73.47,1614792699.0,105
73.62,1614792700.0,105
73.73,1614792701.0,105
73.83,1614792702.0,105
73.93,1614792703.0,105
74.03,1614792704.0,105
74.12,1614792705.0,105
74.15,1614792706.0,105
74.2,1614792707.0,105
74.3,1614792708.0,105
74.4,1614792709.0,105
74.53,1614792710.0,105
74.65,1614792711.0,105
74.75,1614792712.0,105
74.85,1614792713.0,105
74.95,1614792714.0,105
75.0,1614792715.0,105
75.05,1614792716.0,105
75.05,1614792717.0,105
75.02,1614792718.0,105
74.98,1614792719.0,105
74.95,1614792720.0,105
74.93,1614792721.0,105
74.92,1614792722.0,105
74.92,1614792723.0,105
74.9,1614792724.0,105
74.88,1614792725.0,105
74.87,1614792726.0,105
74.85,1614792727.0,105
74.83,1614792728.0,105
74.82,1614792729.0,105
74.8,1614792730.0,105
74.8,1614792731.0,105
74.8,1614792732.0,105
74.8,1614792733.0,105
74.8,1614792734.0,105
74.82,1614792735.0,105
74.85,1614792736.0,105
74.9,1614792737.0,105
74.95,1614792738.0,105
75.02,1614792739.0,105
75.1,1614792740.0,105
75.18,1614792741.0,105
75.25,1614792742.0,105
75.3,1614792743.0,105
75.35,1614792744.0,105
75.4,1614792745.0,105
75.43,1614792746.0,105
75.47,1614792747.0,105
75.48,1614792748.0,105
75.47,1614792749.0,105
75.45,1614792750.0,105
75.47,1614792751.0,105
75.47,1614792752.0,105
75.47,1614792753.0,105
75.45,1614792754.0,105
75.43,1614792755.0,105
75.28,1614792756.0,105
75.17,1614792757.0,105
75.07,1614792758.0,105
75.0,1614792759.0,105
74.93,1614792760.0,105
74.9,1614792761.0,105
74.88,1614792762.0,105
74.87,1614792763.0,105
74.83,1614792764.0,105
74.8,1614792765.0,105
74.77,1614792766.0,105
74.73,1614792767.0,105
74.67,1614792768.0,105
74.62,1614792769.0,105
74.57,1614792770.0,105
74.47,1614792771.0,105
74.37,1614792772.0,105
74.22,1614792773.0,105
74.05,1614792774.0,105
73.92,1614792775.0,105
73.73,1614792776.0,105
73.53,1614792777.0,105
73.4,1614792778.0,105
73.3,1614792779.0,105
