dtIBI,IBI,timeUnix,SUBJ_ID
154.609375,0.75,1622447491.609375,101
155.421875,0.8125,1622447492.421875,101
156.265625,0.84375,1622447493.265625,101
157.140625,0.875,1622447494.140625,101
158.078125,0.9375,1622447495.078125,101
158.90625,0.828125,1622447495.90625,101
159.71875,0.8125,1622447496.71875,101
160.578125,0.859375,1622447497.578125,101
161.46875,0.890625,1622447498.46875,101
162.390625,0.921875,1622447499.390625,101
163.28125,0.890625,1622447500.28125,101
167.4375,0.828125,1622447504.4375,101
168.34375,0.90625,1622447505.34375,101
169.25,0.90625,1622447506.25,101
170.0625,0.8125,1622447507.0625,101
170.921875,0.859375,1622447507.921875,101
171.765625,0.84375,1622447508.765625,101
172.53125,0.765625,1622447509.53125,101
173.359375,0.828125,1622447510.359375,101
174.1875,0.828125,1622447511.1875,101
175.015625,0.828125,1622447512.015625,101
175.78125,0.765625,1622447512.78125,101
176.546875,0.765625,1622447513.546875,101
177.390625,0.84375,1622447514.390625,101
178.234375,0.84375,1622447515.234375,101
179.046875,0.8125,1622447516.046875,101
179.921875,0.875,1622447516.921875,101
180.671875,0.75,1622447517.671875,101
181.4375,0.765625,1622447518.4375,101
182.15625,0.71875,1622447519.15625,101
182.921875,0.765625,1622447519.921875,101
183.703125,0.78125,1622447520.703125,101
184.5,0.796875,1622447521.5,101
185.265625,0.765625,1622447522.265625,101
186.03125,0.765625,1622447523.03125,101
186.78125,0.75,1622447523.78125,101
187.484375,0.703125,1622447524.484375,101
188.21875,0.734375,1622447525.21875,101
189.015625,0.796875,1622447526.015625,101
189.875,0.859375,1622447526.875,101
190.75,0.875,1622447527.75,101
191.546875,0.796875,1622447528.546875,101
192.3125,0.765625,1622447529.3125,101
192.96875,0.65625,1622447529.96875,101
193.640625,0.671875,1622447530.640625,101
194.28125,0.640625,1622447531.28125,101
194.921875,0.640625,1622447531.921875,101
195.609375,0.6875,1622447532.609375,101
196.25,0.640625,1622447533.25,101
196.984375,0.734375,1622447533.984375,101
197.71875,0.734375,1622447534.71875,101
198.484375,0.765625,1622447535.484375,101
199.265625,0.78125,1622447536.265625,101
200.0625,0.796875,1622447537.0625,101
200.90625,0.84375,1622447537.90625,101
201.734375,0.828125,1622447538.734375,101
202.484375,0.75,1622447539.484375,101
203.25,0.765625,1622447540.25,101
204.0,0.75,1622447541.0,101
204.734375,0.734375,1622447541.734375,101
205.5,0.765625,1622447542.5,101
206.25,0.75,1622447543.25,101
206.921875,0.671875,1622447543.921875,101
207.671875,0.75,1622447544.671875,101
208.40625,0.734375,1622447545.40625,101
209.140625,0.734375,1622447546.140625,101
209.984375,0.84375,1622447546.984375,101
210.875,0.890625,1622447547.875,101
211.765625,0.890625,1622447548.765625,101
212.625,0.859375,1622447549.625,101
213.4375,0.8125,1622447550.4375,101
214.171875,0.734375,1622447551.171875,101
214.890625,0.71875,1622447551.890625,101
215.578125,0.6875,1622447552.578125,101
216.3125,0.734375,1622447553.3125,101
217.078125,0.765625,1622447554.078125,101
217.875,0.796875,1622447554.875,101
218.6875,0.8125,1622447555.6875,101
219.5625,0.875,1622447556.5625,101
220.5,0.9375,1622447557.5,101
221.453125,0.953125,1622447558.453125,101
222.328125,0.875,1622447559.328125,101
223.1875,0.859375,1622447560.1875,101
224.046875,0.859375,1622447561.046875,101
224.921875,0.875,1622447561.921875,101
225.78125,0.859375,1622447562.78125,101
226.578125,0.796875,1622447563.578125,101
227.34375,0.765625,1622447564.34375,101
228.109375,0.765625,1622447565.109375,101
228.921875,0.8125,1622447565.921875,101
229.765625,0.84375,1622447566.765625,101
230.609375,0.84375,1622447567.609375,101
231.421875,0.8125,1622447568.421875,101
232.1875,0.765625,1622447569.1875,101
232.96875,0.78125,1622447569.96875,101
233.828125,0.859375,1622447570.828125,101
234.71875,0.890625,1622447571.71875,101
235.515625,0.796875,1622447572.515625,101
236.3125,0.796875,1622447573.3125,101
237.078125,0.765625,1622447574.078125,101
237.890625,0.8125,1622447574.890625,101
238.78125,0.890625,1622447575.78125,101
239.6875,0.90625,1622447576.6875,101
240.5625,0.875,1622447577.5625,101
241.390625,0.828125,1622447578.390625,101
242.203125,0.8125,1622447579.203125,101
243.03125,0.828125,1622447580.03125,101
243.875,0.84375,1622447580.875,101
244.6875,0.8125,1622447581.6875,101
245.453125,0.765625,1622447582.453125,101
257.234375,0.875,1622447594.234375,101
258.078125,0.84375,1622447595.078125,101
258.890625,0.8125,1622447595.890625,101
259.734375,0.84375,1622447596.734375,101
260.484375,0.75,1622447597.484375,101
261.25,0.765625,1622447598.25,101
262.03125,0.78125,1622447599.03125,101
262.859375,0.828125,1622447599.859375,101
263.6875,0.828125,1622447600.6875,101
264.484375,0.796875,1622447601.484375,101
265.328125,0.84375,1622447602.328125,101
266.15625,0.828125,1622447603.15625,101
266.984375,0.828125,1622447603.984375,101
267.78125,0.796875,1622447604.78125,101
268.578125,0.796875,1622447605.578125,101
269.3125,0.734375,1622447606.3125,101
269.984375,0.671875,1622447606.984375,101
270.6875,0.703125,1622447607.6875,101
271.375,0.6875,1622447608.375,101
272.125,0.75,1622447609.125,101
272.828125,0.703125,1622447609.828125,101
273.515625,0.6875,1622447610.515625,101
274.234375,0.71875,1622447611.234375,101
274.90625,0.671875,1622447611.90625,101
275.578125,0.671875,1622447612.578125,101
276.265625,0.6875,1622447613.265625,101
276.953125,0.6875,1622447613.953125,101
277.640625,0.6875,1622447614.640625,101
278.34375,0.703125,1622447615.34375,101
278.984375,0.640625,1622447615.984375,101
279.578125,0.59375,1622447616.578125,101
280.203125,0.625,1622447617.203125,101
280.859375,0.65625,1622447617.859375,101
281.5625,0.703125,1622447618.5625,101
282.34375,0.78125,1622447619.34375,101
283.125,0.78125,1622447620.125,101
283.890625,0.765625,1622447620.890625,101
284.609375,0.71875,1622447621.609375,101
285.34375,0.734375,1622447622.34375,101
286.078125,0.734375,1622447623.078125,101
286.796875,0.71875,1622447623.796875,101
287.5625,0.765625,1622447624.5625,101
288.359375,0.796875,1622447625.359375,101
289.140625,0.78125,1622447626.140625,101
289.953125,0.8125,1622447626.953125,101
290.8125,0.859375,1622447627.8125,101
291.71875,0.90625,1622447628.71875,101
292.546875,0.828125,1622447629.546875,101
293.328125,0.78125,1622447630.328125,101
294.140625,0.8125,1622447631.140625,101
294.96875,0.828125,1622447631.96875,101
295.71875,0.75,1622447632.71875,101
296.546875,0.828125,1622447633.546875,101
297.328125,0.78125,1622447634.328125,101
298.078125,0.75,1622447635.078125,101
298.9375,0.859375,1622447635.9375,101
299.828125,0.890625,1622447636.828125,101
300.65625,0.828125,1622447637.65625,101
301.53125,0.875,1622447638.53125,101
302.421875,0.890625,1622447639.421875,101
303.265625,0.84375,1622447640.265625,101
304.109375,0.84375,1622447641.109375,101
304.984375,0.875,1622447641.984375,101
305.828125,0.84375,1622447642.828125,101
306.640625,0.8125,1622447643.640625,101
307.375,0.734375,1622447644.375,101
308.109375,0.734375,1622447645.109375,101
309.015625,0.90625,1622447646.015625,101
310.03125,1.015625,1622447647.03125,101
311.03125,1.0,1622447648.03125,101
311.953125,0.921875,1622447648.953125,101
312.90625,0.953125,1622447649.90625,101
313.90625,1.0,1622447650.90625,101
314.890625,0.984375,1622447651.890625,101
315.890625,1.0,1622447652.890625,101
316.921875,1.03125,1622447653.921875,101
317.921875,1.0,1622447654.921875,101
318.90625,0.984375,1622447655.90625,101
319.84375,0.9375,1622447656.84375,101
320.8125,0.96875,1622447657.8125,101
321.734375,0.921875,1622447658.734375,101
322.671875,0.9375,1622447659.671875,101
323.671875,1.0,1622447660.671875,101
329.34375,0.921875,1622447666.34375,101
330.3125,0.96875,1622447667.3125,101
331.203125,0.890625,1622447668.203125,101
49.34375,1.078125,1612524248.34375,103
50.40625,1.0625,1612524249.40625,103
51.453125,1.046875,1612524250.453125,103
52.484375,1.03125,1612524251.484375,103
53.5,1.015625,1612524252.5,103
60.625,1.015625,1612524259.625,103
61.703125,1.078125,1612524260.703125,103
62.71875,1.015625,1612524261.71875,103
63.78125,1.0625,1612524262.78125,103
64.84375,1.0625,1612524263.84375,103
65.875,1.03125,1612524264.875,103
66.9375,1.0625,1612524265.9375,103
68.109375,1.171875,1612524267.109375,103
69.21875,1.109375,1612524268.21875,103
70.359375,1.140625,1612524269.359375,103
71.484375,1.125,1612524270.484375,103
72.65625,1.171875,1612524271.65625,103
73.765625,1.109375,1612524272.765625,103
74.921875,1.15625,1612524273.921875,103
76.0625,1.140625,1612524275.0625,103
77.15625,1.09375,1612524276.15625,103
78.265625,1.109375,1612524277.265625,103
79.359375,1.09375,1612524278.359375,103
80.421875,1.0625,1612524279.421875,103
81.53125,1.109375,1612524280.53125,103
89.1875,1.0625,1612524288.1875,103
90.25,1.0625,1612524289.25,103
91.390625,1.140625,1612524290.390625,103
92.5,1.109375,1612524291.5,103
93.625,1.125,1612524292.625,103
94.75,1.125,1612524293.75,103
95.875,1.125,1612524294.875,103
101.125,1.03125,1612524300.125,103
102.1875,1.0625,1612524301.1875,103
103.265625,1.078125,1612524302.265625,103
104.28125,1.015625,1612524303.28125,103
122.6875,1.140625,1612524321.6875,103
123.859375,1.171875,1612524322.859375,103
125.015625,1.15625,1612524324.015625,103
126.140625,1.125,1612524325.140625,103
127.28125,1.140625,1612524326.28125,103
135.578125,1.265625,1612524334.578125,103
136.703125,1.125,1612524335.703125,103
137.84375,1.140625,1612524336.84375,103
139.09375,1.25,1612524338.09375,103
140.234375,1.140625,1612524339.234375,103
141.375,1.140625,1612524340.375,103
142.578125,1.203125,1612524341.578125,103
143.734375,1.15625,1612524342.734375,103
163.484375,1.265625,1612524362.484375,103
164.640625,1.15625,1612524363.640625,103
