timeUnix,SUBJ_ID
1632234776.03,205
1632235158.39,205
1632235184.2,205
1632235199.52,205
1632235266.05,205
1632235277.59,205
1632235325.75,205
1632235336.14,205
1632235367.12,205
1633026107.7,206
1633026513.91,206
1633026559.75,206
1633026682.69,206
1633026748.06,206
1633026763.2,206
1633026793.41,206
1633026804.92,206
1633026830.66,206
1631189223.86,207
1631189601.41,207
1631189632.52,207
1631189647.88,207
1631189713.61,207
1631189727.2,207
1631189772.98,207
1631189786.25,207
1631189812.33,207
1638007427.5,208
1638007801.61,208
1638007847.97,208
1638007871.84,208
1638007939.22,208
1638007962.23,208
1638007988.03,208
1638008000.14,208
1638008030.86,208
1636100563.41,209
1636100950.11,209
1636100981.02,209
1636101005.73,209
1636101031.69,209
1636101061.67,209
1636101109.2,209
1636101123.23,209
1636101192.48,209
1612290109.08,210
1612290661.92,210
1612290687.8,210
1612290710.48,210
1612290741.39,210
1612290762.61,210
1612290828.95,210
1612290858.55,210
1612290908.47,210
1612962874.08,211
1614018380.31,212
1614258622.05,213
1614846136.95,214
1614865832.3,215
1615043854.77,216
1615993723.27,217
1616151149.09,219
1626771727.61,2201
1626785048.66,2202
1626785588.69,2202
1626785634.03,2202
1626785666.11,2202
1626785731.33,2202
1626785754.97,2202
1626785780.56,2202
1626785801.11,2202
1626785831.45,2202
1626790571.73,2203
1626791101.08,2203
1626791126.47,2203
1626791142.75,2203
1626791173.0,2203
1626791189.64,2203
1626791255.11,2203
1626791273.36,2203
1626791318.7,2203
1627572126.98,2206
1627572641.88,2206
1627572707.34,2206
1627572733.69,2206
1627572779.27,2206
1627572809.11,2206
1627572834.45,2206
1627572863.11,2206
1627572893.44,2206
1628503359.67,2207
1628503838.33,2207
1628503884.34,2207
1628503917.39,2207
1628503948.17,2207
1628503970.05,2207
1628503995.55,2207
1628504017.16,2207
1628504082.61,2207
1629719532.97,2208
1629719979.98,2208
1629720010.89,2208
1629720033.58,2208
1629720079.0,2208
1629720110.28,2208
1629720135.95,2208
1629720158.05,2208
1629720223.52,2208
1629732583.77,2209
1629733073.0,2209
1629733118.12,2209
1629733146.58,2209
1629733212.06,2209
1629733234.3,2209
1629733264.73,2209
1629733290.62,2209
1629733316.14,2209
1616504181.59,220
1630941709.8,2210
1630942214.95,2210
1630942280.36,2210
1630942316.09,2210
1630942341.78,2210
1630942371.41,2210
1630942416.78,2210
1630942444.09,2210
1630942474.73,2210
1631524341.89,2211
1631524841.73,2211
1631524906.81,2211
1631524940.59,2211
1631524966.05,2211
1631524990.55,2211
